first name,last name,fullname,postcode,phone number,email,latitude,longitude,member_numeric_data
Benedict,Nolan,Benedict Nolan,PL7 4PW,+446026842161,Benedict.Nolan7@yahoo.com,50.396389,-4.069118,1
Jaclyn,Walker,Jaclyn Walker,NR3 4JU,+442523700254,Jaclyn.Walker31@gmail.com,52.644188,1.29927,65
Ena,King,Ena King,BT1 1NB,+445583996591,Ena.King@yahoo.com,54.601967,-5.930951,39
Simone,Stark,Simone Stark,G66 9SR,+448373732137,Simone_Stark24@gmail.com,55.93231,-4.154504,33
Dean,Moen,Dean Moen,WV10 9RQ,+447697729720,Dean_Moen94@yahoo.com,52.602281,-2.107115,17
Felipa,Hickle,Felipa Hickle,AB42 4TN,+442948905707,Felipa.Hickle@hotmail.com,57.51593,-1.937525,86
Patsy,Rempel,Patsy Rempel,N19 4LD,+442076463582,Patsy_Rempel4@hotmail.com,51.56305,-0.123999,46
Alfonso,Altenwerth,Alfonso Altenwerth,BT63 6DL,+444273902243,Alfonso_Altenwerth@gmail.com,54.381285,-6.326918,34
Brando,Satterfield,Brando Satterfield,TW15 1NT,+442739592602,Brando_Satterfield@yahoo.com,51.430602,-0.441821,15
Brooke,McLaughlin,Brooke McLaughlin,SK8 2DG,+447436137739,Brooke_McLaughlin@hotmail.com,53.395295,-2.199831,68
Norene,Baumbach,Norene Baumbach,EX5 1HQ,+442514378398,Norene.Baumbach@yahoo.com,50.665511,-3.397697,23
Rocky,DuBuque-Powlowski,Rocky DuBuque-Powlowski,LS1 5RL,+447758070680,Rocky_DuBuque-Powlowski65@gmail.com,53.799399,-1.548293,68
Brielle,Ziemann-Stoltenberg,Brielle Ziemann-Stoltenberg,G46 7SE,+448582263183,Brielle.Ziemann-Stoltenberg@hotmail.com,55.802955,-4.319078,88
Mertie,Collier,Mertie Collier,BR2 7LB,+444408062867,Mertie.Collier@hotmail.com,51.380715,0.01822,75
Damien,Breitenberg-Schimmel,Damien Breitenberg-Schimmel,BB5 2SD,+447877142414,Damien_Breitenberg-Schimmel44@gmail.com,53.726748,-2.333079,72
Diamond,VonRueden,Diamond VonRueden,M45 8RJ,+447916210718,Diamond_VonRueden@gmail.com,53.555779,-2.274808,49
